qed_mean,qed_med,qed_min,qed_max,qed_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.5010941489848035,0.5014671555086073,0.21384922010636914,0.7301939828450146,0.09749556862193187,0.5010941489848035,0.5014671555086073,0.21384922010636914,0.7301939828450146,0.09749556862193187,215,10,2.3852787017822266,0,0,38,0,0,0,0,0
0.50264959789606,0.5016176019626617,0.21384922010636914,0.7301939828450146,0.09665070485965416,0.50264959789606,0.5016176019626617,0.21384922010636914,0.7301939828450146,0.09665070485965416,225,10,2.5877835750579834,0,0,64,0,0,0,0,0
0.5053472145773434,0.5036108623418297,0.21384922010636914,0.7301939828450146,0.0961061676632171,0.5053472145773434,0.5036108623418297,0.21384922010636914,0.7301939828450146,0.0961061676632171,235,10,2.9010398387908936,0,0,89,0,0,0,0,0
0.5060018648729937,0.5043742943171459,0.21384922010636914,0.7301939828450146,0.0952989524197967,0.5060018648729937,0.5043742943171459,0.21384922010636914,0.7301939828450146,0.0952989524197967,245,10,3.208517551422119,0,0,87,0,0,0,0,0
0.5081066915215668,0.5058262783907359,0.21384922010636914,0.7301939828450146,0.09504666999174183,0.5081066915215668,0.5058262783907359,0.21384922010636914,0.7301939828450146,0.09504666999174183,255,10,3.4880080223083496,0,0,79,0,0,0,0,0
0.5077510118633451,0.505328510590474,0.21384922010636914,0.7301939828450146,0.09478294017959459,0.5077510118633451,0.505328510590474,0.21384922010636914,0.7301939828450146,0.09478294017959459,265,10,3.8317928314208984,0,0,103,0,0,0,0,0
0.5084172647059279,0.5061610951828812,0.21384922010636914,0.7301939828450146,0.09416920989455348,0.5084172647059279,0.5061610951828812,0.21384922010636914,0.7301939828450146,0.09416920989455348,275,10,4.232855796813965,0,0,123,0,0,0,0,0
0.509872414170921,0.5081090423065802,0.21384922010636914,0.7301939828450146,0.0933497251787914,0.509872414170921,0.5081090423065802,0.21384922010636914,0.7301939828450146,0.0933497251787914,285,10,4.59537935256958,0,0,115,0,0,0,0,0
0.5129823543584419,0.5129961593850786,0.21384922010636914,0.7301939828450146,0.09376417533080773,0.5129823543584419,0.5129961593850786,0.21384922010636914,0.7301939828450146,0.09376417533080773,295,10,4.9877729415893555,0,0,125,0,0,0,0,0
0.5147780111799316,0.5132180028674285,0.21384922010636914,0.7301939828450146,0.09378847893237076,0.5147780111799316,0.5132180028674285,0.21384922010636914,0.7301939828450146,0.09378847893237076,305,10,5.4764182567596436,0,0,158,0,0,0,0,0
0.5152114568597304,0.5132180028674285,0.21384922010636914,0.7301939828450146,0.09398237107779077,0.5152114568597304,0.5132180028674285,0.21384922010636914,0.7301939828450146,0.09398237107779077,315,10,6.197613000869751,0,0,235,0,0,0,0,0
0.5153885743027246,0.5142062577267861,0.21384922010636914,0.7301939828450146,0.09377612784626889,0.5153885743027246,0.5142062577267861,0.21384922010636914,0.7301939828450146,0.09377612784626889,325,10,7.009932279586792,0,0,252,0,0,0,0,0
0.5150021555193257,0.5142062577267861,0.21384922010636914,0.7301939828450146,0.09431882180295906,0.5150021555193257,0.5142062577267861,0.21384922010636914,0.7301939828450146,0.09431882180295906,335,10,7.629147529602051,0,0,239,0,0,0,0,0
0.5155280337523481,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09408888534223017,0.5155280337523481,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09408888534223017,345,10,8.038464784622192,0,0,192,0,0,0,0,0
0.5148908424729067,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09328205172904314,0.5148908424729067,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09328205172904314,355,10,8.552961349487305,0,0,262,0,0,0,0,0
0.5160171472628973,0.5154795365475557,0.21384922010636914,0.7301939828450146,0.0927738410133619,0.5160171472628973,0.5154795365475557,0.21384922010636914,0.7301939828450146,0.0927738410133619,365,10,9.1247398853302,0,0,277,0,0,0,0,0
0.5156368080689053,0.5154795365475557,0.21384922010636914,0.7301939828450146,0.0933180730957823,0.5156368080689053,0.5154795365475557,0.21384922010636914,0.7301939828450146,0.0933180730957823,375,10,9.804926872253418,0,0,349,0,0,0,0,0
0.5152322938421983,0.5151522526891985,0.21384922010636914,0.7301939828450146,0.0930954205669235,0.5152322938421983,0.5151522526891985,0.21384922010636914,0.7301939828450146,0.0930954205669235,385,10,10.315544843673706,0,0,237,0,0,0,0,0
0.5142203471208029,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09329229609342134,0.5142203471208029,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09329229609342134,395,10,10.968909740447998,0,0,318,0,0,0,0,0
